Summary,Review,Rating
"Left because of management, loved the job.","Management was too overbearing and would micro manage and often criticize as well.  At times would make others feel incompetent and unworthy. I loved working at Wal-Mart, however my manager drove me away.",4
"Very productive, family friendly, and inclusive place to work but do wish I was compensated a bit more.","Let me start off by saying that this a great company to start your career. It has both nurtured me and given me the tools and environment to succeed. My job as a Technical Project Manager has given me a lot of pride but also a lot of stress. Accomplishing tasks day to day can be very productive but when larger initiatives come into play due to Walmarts size things can be slow. Sometimes politics come into play as with any corporate company. Additionally, what I don't like is that time in position comes into play when looking at promotions and not just strictly off merit and effort. Also, getting certifications and going for more classes is very encouraged and most of the time Walmart pays for it. Lastly, the end of the fiscal year bonus is nice, as long as you have a good evaluation.",4
Overall great company,"I feel like not only does the company care about the customers which they do put first, but they also take care of their employees. I really enjoyed my time working for the home office and if I ever get an opportunity I would do it again.",5
Na,"No job stability, managers don’t give meaningful feedback until it’s too late to do anything about it, once you rub someone the wrong way they will find a way to get rid of you",2
Culture of lies and misinformation.,"I worked for this company for 5 years and it took a while to see where the the space between what they preach and how the upper management acts. It really is all who you know, who you date and who your friends are.  If you are not willing to bend to that sort of behavior, you might want to find someplace else. They will tell you to your face something isn't happening (like moving a entire department's jobs over seas or to a 3rd party) then they do it anyway.",2
Ok Company,Ok company to work for. Not the greatest benefit. Lack of job security and outdated technology. Very poor number of vacation/sick days. Location is very undeveloped,3
Excellent Company to work for!,"Great compensation, great benefits, Honest and Good people to work. Employee advancement seems to be a big goal for the company. the diversity and team work is immaculate!",5
Fantastic Growth Opportunities,This job is very rewarding and well worth applying for! The culture and work ethic of this company is enough to make you feel at home while still being challenged to being something new to the table every single day. The scale at which you operate is unbelievable and you will learn so much within just your first 6 months.,5
Challenging work environment with great associates,"Some of the finest people,I have ever worked with. You are challenged daily to do more than you ever thought you could and are recognized by your team for your accomplishments",4
"Good for experience, but don't get stuck",Walmart is a tremendous place to build experience and knowledge. The limitation is that only playing through the office politics games will you be able to advance past the lowest levels of management.,3
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
It was a job,"Hired as a temporary, get your foot in the door, hope of a full time job didn't materialize. Training was inadequate and role expanded with out any training.",3
family oriented and fair with wages and opportunity.,Worked there 26 years and was treated fairly and wages were very good. Family always came first and you were given the time off when needed. I learned all about medical insurance and all the benefits offered. The management were always good to me and helped me advance when I wanted to. The hardest part of the job was having to tell the associate that their claims were paid correctly and the owed money. The best part was the friendships you make for life.,5
Walmart is focused on diversity and sustainability,"Walmart is a leader in the industry to be inclusive and diverse.  A worldwide retailer that seeks to meet customers needs in every market they operate.  Additionally, Walmart is a leader in sustainability striving daily to reduce waste.  These two important areas make Walmart a great company to a part of.",4
Environment was great,Great management. They listened to whatever you had to say. And emphasized that they were always there. Great teamwork. If you were having a bad day they helped in whatever way they could.,5
Great culture great relationships are made daily,Walmart is all about customer service both internal and external.  They will make you want to do your best at whatever you are working on for the company.,4
My review,If it was easier to get hired on with the company instead of being a temp employee for my entire Walmart career. The good was that I gained a ton of experience that will help me with finding a lasting career.,5
Great place to work,Good work life balance. Always pushed family first in the division of the company I worked in. We were a close group of teams out in the field that were considered like family.,5
good company,"overall Walmart is a good Company, benefits is good and the team work. what i like the most is that the company have a open door policy that is very good",5
Only thing consistent is change,"Company allows their associates to try new things to ensure they are in a role that fits their interests, but primarily skill sets to be successful.  In recent years there has been a lot of change in how we work, which is a driving force for the Company to move forward to achieve the best possible outcome for their share holders.",4
Great company,"I worked in store planning for the greatest retail expansion in us history and before that I was one of the youngest general managers in the company.I worked for Sam Walton the founder.......he was amazing and took care of his employees. Sam died Tuesday and I left Thursday, the world changed.No company used first names in business before Sam started it.Sam was a pilot and flew over the parking lot and counted cars.Some employees were millionaires before 30 years of age because of stock splits.",5
Walmart promotes advancement opportunities often,"Working for the biggest retail company in the world, you immediately learn the culture, and how they have become who they are.  Management is there to grow you to the next level.  They provide you with the tools and additional training in order for you to succeed.  The most enjoyable part of the job, was the many of team building events.  This allowed you a way to bond with your team members, and helped to build morale.",4
Good Company,"Decent company to work for. Career advancement is all up to the individual and your ability to network. Have had a series of bosses, have yet to experience a true leader.",3
"Associate oriented, pleasant place to work","In my particular department, the Supervision, to include myself, focuses on the well-being of the associates. Respect is given and trust is abundant . I can go to my leadership with any concern I have and not have to worry about being taken seriously or not.",4
Provided lots of opportunity,There are many routes you can take with you career at walmart. There are paths for people with degrees and without degrees. There are many different schedules that can work with nearly everyone.,5
great place to work,Walmart is a great place to work they will help you advance give you the training you need to do so every thing about Walmart I love will work there again if there is an opening for asst.manager,5
Terrible,"Terrible place to have to work. No raises,cut hours so manager can make his bonus,no work to life balance,nobody there is happy,you are tasked with more work than you can ever get done on one shift.....stay FAR FAR FAR AWAY!!",1
Building Controls,Started at 6pm and worked till 6am Tuesday Wednesday Thursday and every other Friday   I think the position I had should’ve been paid better  I really enjoyed working with the team and my manager and supervisor were great,5
Work hard,"Accountability is key. If your behind, reach out for help and you will succeed. Must be able to set self goals. Total inclusive company no one is turned away from having a different lifestyle",5
Amazing unlimited opportunities,Would highly recommend as an employer. Great culture and founding principles. Excellent training programs and compensation packages.  Really strive in all aspects of the organization to deliver on the promise of saving people money so they can live better.,5
Great company to work for,I have worked for Walmart 35years.  Started out as an hourly mechanic and have advanced as high a level as Sr. Manager.  I have gone back to college and obtained a Bachelor of Science in Organizational Management.  Now I  feel it is time to look for work at other companies.  Start a second career,4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Paid well,"Don't really enjoy it but pays well , location is overly crowded management leaves the associates in the dark about everything and are very inconsistent",1
The other Associates were nice most of management was terrible often hiding from doing work,An average day was often not good as management would play favorites with the morning crew allowing them to dump their work on the evening shift. I would only ask for assistance if certain managers were there as some would help but most would not.,1
Home Office was great!,I really loved working at the Corporate Headquarters for walmart. They treated their employees very well and had excellent 2 week training. They also have very good benefits as well.,4
I loved working there,Great co-workers and I was always happy there. They gave me a 15 minute break every 3 hours AND an hour lunch.   Add sd vying fyi chk floor tnt do cm . doc funding,5
Workplace as well as coworkers were very helpful and welcoming,"The work wasn't the easiest and the work team was understanding of that, they would help you and cooperate with whatever was easiest for you. However, if there was a work void you would be expected to fill it even if it was outside of your job title. Overall I enjoyed working for Walmart and would recommend it to anyone seeking entry-level work",4
great place to work,"it is a great place to work, benefits are great. Sometimes the work/life balance can get complicated. It is hard to move from one area of the company to another.",4
Nice  place to start from if you want make career w,"Nice place to start from if you want to develop your career at Wal-Mart.Worked there for short time but was treated well.My managers were very helpful. But I had to go back to my career path.",5
Walmart changes,"Since I've began working at walmart, the company has made a lot of changes that are for the better. They now offer a business degree program online at the expense of only $1/day. Men get paid paternity leave. Also, gym membership availability and family mobile phone plans.",4
Too stressful,Working at walmart is too stressfull.  They put too much work on one person to be able to get every penny paid to them.  I only stay because of all the benefits they offer.,4
Great company,I loved working there. Should never have left. My goal is to return there. Lots of advancement opportunities. Flexible schedule. Great company over all.,5
Top of the retail food chain.,Extremely fast paced at salary management level. Wal-Mart is at least 5 years ahead of all other brick and mortar retailers. The good - extremely structured and everyone is given the resources to succeed. The bad - highly political environment where long term success is based upon who you align yourself with. Everyone will need to pull out a “lifeline” at some point to save yourself. Also Wal-Mart is so large that you are just another employee who is easily replaced.,4
Has fun in a fast paced environment,The culture in transportation is huge. The regional operations center strives to stay relevant in an environment of constant change.  Never a dull moment and it is a great jump to a Walmart career.,4
Good work place,"I did start like a freight processor at  Non-con then I moved to a different department at the same building.Doing same work as a freight processor, I did have a cross training at many departments .Than I move to a different department to Dotcom department ending as research Dotcom.And I do also am a forklift driver.",5
good working culture,"opportunities for growth.Difficult to Manage work-life balance. Friendly work environment. management doesn't have knowledge to evaluate work done by an individual.",4
World's Largest Company,"Walmart demands a productive workforce and abides by its three basic beliefs: Respect for the Individual.Service to our Customers.Striving for Excellence.And integrity is key to the culture as well.",4
Leading the way in Retail,"Overall, good company to work for. The company is still strong and operates by it's core values. I have personally have meet some really good people their and have become friends outside of the four walls. As the future of retail changes, so does the jobs. Job security is not a ""thing"" at Walmart. Do expected to be impacted at some point in your career.",4
productive fun workplace,the work place was so productive and fun and also i get a lot of experience from there and also the management was so nice the team that i work were so nice .,5
No job security,"The job is fine.  Expectations are high but are reasonable.  Then, one day, your job will be eliminated and you will be laid off.  It happens to everyone.  It's just a matter of time until it happens to your job code.  Many years with the company and I was laid off on a conference call with dozens of other people.  Just like that.  I spent years waiting for it to happen and watching it happen to others.  That's an awful way to live, waiting for the hammer to drop, at no fault of your own, just based on one of the continual reorganizations.   I get that change is necessary to be competitive, but lack of loyalty to your associates that have great evaluations is shameful.  I wouldn't recommend anyone to work for Walmart.  I won't even shop there anymore.",5
Challenging,"Hours may vary often, can be rough for family life, Very Challenging job, good training, opportunities for advancement vary, and are rare, Pay is very poor for hourly store associates.",3
Productive Workplace,Walmart is a company focused on new ideas and changing the status quo. They encourage thinking outside of the box. The work can be rigorous but it is nice knowing you are making a difference.,5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
always the worry of a layoff,"they will give yo a bad review just to meet their layoff quota.  45 work week, it is NW AR so you don't have many options.  It all depends on your reporting structure.  For 10 years, the job was ok despite the low pay and long hours.  After a reorg, I got a terrible manager and was out the door less than 3 years later.",3
MY Review Summary,".I love working there, I have learned so many skills,I love working there, The job has taught me so many skills,the leadership that I received on a daily basis was exactly what I needed to Excel my career",5
Great place for advancement.,A typical day at Walmart was to make sure you focused on your work.  Took advantage of educational opportunities. Work as a team and be involved in creating new processes to improve overall job function.,5
Is a great place for a start,Lot of things to learn and the people there where great and open to learn new things.thw management was great. Scrum was a new practice so it took a while to grab it but every one on the team was great and ready to learn,4
ok place to work,"ok place to work before they shut down warehouse, good management, good breakroom but its not there anymore. Nice people to work with, clean enviroment.",4
Great Team Memebers,"Great work environment and team members.  Lots of projects and future changes.  Very busy, but good work life balance,  Culture is a bit different but if you can be a team player you are good as gold.",3
Ok experience,"Travel every week was grueling.Pay was ok.Leadership varied across all spectrums - terrible to amazingOld school culture, less apparent in eCommerce",3
Great Company,The benefits where great! Great for getting auditing experience at a large company. Managers will work with you to find a department that suits your skills.,5
Productive workplace,Good environment to learn and use your skills to enhance process flows and positively impact the overall business.  Great co-workers as everyone is a pleasure to work with.,4
Walmart is a good company but the health insurance is terrible,"Walmart is a big company And there Are some positions harder than others from warehouse to stores and home office there is a lot for you to grow andComb up.",4
Review,"Challenging, changing, diverse culture.Work with cross functional teams.Requires travel for individual and group projects.Team based with opportunity for individual growth.",3
No Title,"This was once a great company to work for, however, over the years, it has become more interested in making more money and cutting expenses, and less about the people who work hard to run it.  The hourly associates are the hardest working and lowest paid. The pay gaps are enormous, and more is expected of one working here and less pay is received.",1
Customer Satisfaction,Work was very fair. Management was very understanding and explained to me what needed to be done and let me go my way of completing my work in a decent and fair time frame. I enjoyed my everyday customers who came in to put a smile on my face and assisted them in any way they needed help with.  I was always determined to help the customer with their problems even when it was out of my reach and need farther assistance to help get what the customer needed.,4
Good job,It is definitely different than any job I've ever had. Its is hard work and production is a huge thing so is safety. It takes a lot of energy. You definitely have to be motivated and not mind repetitive work. It's the same thing everyday.,4
good,A typical day at work what you learned management workplace culture the hardest part of the job the most enjoyable part of the job the opinion about the culture,4
Walmart has changed,"Walmart used to be a beacon of light in corporate America. However, in recent years, it has been necessary for the corporation to adopt the more aggressive nature typical of giant corporations. Do not expect to rest on your laurels! You MUST put forth effort to grow personally and professionally to survive. But, if you do, you will be generous rewarded!",4
Great company,Great company for young professionals to learn and grow. Multiple lower level roles to switch between to get cast experience.  The higher the role the more difficult to cross between different types of roles,4
Good wages for entry level work,"Easy work opportunities for people just entering the workforce. Walmart really watches it's hourly employees.  Reports are kicked out on everything: phone calls, breaks, time management, attendance, and goal achievement. On the plus side, a person can't get away with being a slacker, and the only way you won't be successful- is if you don't want to be. Walmart makes all the tools to be successful available to everyone.",5
The Culture has changed and the people with it,"Having over 17 years w/ WM this time I can see the changed in Mgmt and the change in the culture.  People don't like all the politics that are involved in doing your job these days.  You dedicate yourself, your life to a job and they can cut it from you in an instand.",2
Walmart taught me the skills needed for the positions that I had.,"Walmart hired me as a young single parent.   I had absolutely no working skills.   Walmart taught me the skills I needed for the positions I held.  I honed those skills, and was proud to be a part of such a great company!",5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Fast Paced and task complete is a demand,We offload trucks and store products in their designated storage and pins. We stock frozen and Dried Goods and also label products with shelf lives freshness Dates,5
Strong Culture with High Pressure,Strong culture of caring for the customer and having a productive work environment.  Comfortable working space with collaboration areas and ability to focus.  Management styles vary by leader and can be overbearing.,4
Good job,This is a good job depending on how well you can handle all the incoming calls. The managers and your co workers are always willing to help and they are willing to assist in bettering yourself.,4
Competitive and no stability,"Walmart is a very competitive company to get into. I started at the CC to get my foot in the door so I can eventually move into the department that best suites me and my degree. This, I was told would be easy. I find it is harder than I thought as anyone I would reach out to to networks didn't seem to want to take the time to speak with me.",3
"Great culture, great opportunity, great company",The company has great opportunities in almost any type of career you can imagine. The culture truly is focused on the customers and the associates (employees).,5
Liars and Cheaters Everywhere!,"Make yourself comfortable, because this is going to be a long review. I want everybody to know what working at a Walmart DC is like. I know it won't change anything, but if I can convince even a single person not to apply here, it'll be worth it. Over the past seven years I have worked in three different Walmart stores and two different places in the Walmart home office. While all of these jobs were pretty bad, I never had to put up with the amount of nonsense I've had to endure during my three months at the distribution center. First and foremost, the managers are liars. If they tell you a job is full time, they're lying. They will promise you forty hours a week, but you'll end up working thirty if you're lucky and twenty if you aren't. When they hire you they'll claim that they're in a ""slow period"" between seasons, which is when they like to bring in new associates for training. This is a lie. Business isn't slow, it's DEAD. And the ""slow season"" NEVER ENDS. They might get busy in October and April, but then it'll die again after three or four weeks. This means that you will be sent home anywhere from two to five hours early every single day. This is not a choice, you MUST clock out and go home. You can cover that time with PTO if you have any, but having to use it every day means you'll eat through it faster than you can earn it. So get used to teeny tiny paychecks. What's worse is that there is clearly still work to be done. There are machines and equipment to clean, small tasks like picking up stray items, moving boxes, etc. You could even go help out in another - more...",1
"Engaging work and workplace. High ethics, respect for the individual","Typical day at work: 8 to 5; individual tasks; collaboration wit different departmentsAverage management engagement, high turnoverengaging work and workplace, high ethics, respect of the individual, focus on cost saving, clean your own office, not much outside conference attendance, good professional training in most work functionshardest part of the job: short deadlinesmost enjoyable part of the job: Saturday morning meeting with execs and famous guest speakers.",4
Productive SCRUM experience,"Bentonville is great. The team is extremely smart. Agile was immature, but had a team of strong scrum masters that supported the transition from waterfall.",5
Nice place to work,Good place to work. The pay is good. You can advance if you choose to. My work schedule is great. I like working on the weekends. It leaves me time to do what I want during the week,4
Good working experience in walmart account,Overall it is Good working experience and got knowledge in systems and ecommerce business very well. Working with various teams and systems gave me an idea of online order flow between systems thoroughly,3
Good company,Casual work environment but high tech programs and opportunity to learn new skills and advance.  Management could be a little stricter alot of wasted time by associates.  Good team events,4
Look elsewhere.,Used to be a great company 25 years ago. They sold me out to a 3 rd party. Not the same company. Very stressful toxic work environment. They don’t drug test anymore associates are weird they hire anyone now.,1
Walmart is a great place to work,I worked for Walmart/Sam’s for over 10 years and would love to have the opportunity to work there again. They really do make you feel like you’re a part of their family!,5
10+ year associate,After 10 awesome years at a company I admired the changes being noted in other areas crept into my department. As headcount cuts became a regular occurrence and benefits were cut the stress of wondering if we were next destroyed the productivity and morale of the department. In spite of all the wonderful experiences I had at Walmart I have come to believe that company is gone and the dog eat dog atmosphere of a company run for shareholders is not for me.,2
Very stressful job,I worked for Walmart inside and outside. Managers seemed to favor certain employees over others. I’d be working hard while we had lazy employees do nothing and managers did absolutely nothing about it.,2
Fun and collaborative team,Fun and collaborative team to work with. Good on sharing knowledge and helpful. Team is very friendly and easily approachable for any support   with work.,5
Don't waste your time,"If your looking for a place to be stuck in the same position with no way to move up, then you've found the right place. The management here is horrible and do not care if you excel. Pay increase is a joke.  Every year if you're lucky you might get a 10 cent raise. The only thing that is good about the job is the people you work with.",3
"Comfortable Atmosphere, Connected Culture","Work in ambiguous environment to identify cost saving in the domestic supply chain. Freedom to work with whatever tools you want, but challenged to find meaningful impacts.",4
Culture,They have lost their culture for the most part.  I'm hoping they can find a way to recapture it soon. The hardest part about working for Walmart is the being held responsible for things you have no control of.,3
Great place to work and are exposed to many different processes in the business,"Very fun work enviroment, learned about how meetings and reports were necessary and the importance to provide correct information. Friendly atmosphere, always felt we worked as a team.",5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
"Good coworkers, management could use some work",All of my coworkers were very friendly and helpful in my times of need. The managers did not communicate well with each other. One day I had 3 different managers come to me and asked completely different things of me.,3
Best work place,"Walmart is always training and keeping employees up to date with the new technology and business related issues. They take care of associates on and off work, the management exhibits excellent leadership.",5
Mejores años cuando trabaje en walmart,Trabajo me ayudo mucho en vida personal y me enseño practicas y en desempeñar mi habilidades con clientes y computacion,5
Stay away from any job in the Contact Center,"Atmosphere in the Contact Center is terrible.  Low morale, high turnover.  Extremely micromanaged.  I have been in the workforce for nearly 30 years and this is by far the worst environment I have ever worked in. Management constantly threatens employees with ""coachings"" and termination.  You are timed by how long you remain in the proper Aux code on your phone, and receive reprimands for being in the incorrect Aux longer than 5 minutes, regardless of the circumstances.  You are only allowed 5 minutes of personal time per 8 hour shift (bathroom trips, etc.) before it begins to affect your ""adherence,"" or the percentage of your scheduled shift you are in the correct Aux code, which must remain above 94% or coaching will result. Customer Service surveys also can result in coachings, but the low customer service score that is given can be the result of no fault of your own.  If you escalate a ticket to a higher level of management whi answers the ticket not to the customer's satisfaction, the low customer service score (CSAT) counts against you, regardless if you had anything to do with the answer or not. Overall, as a company Walmart is not bad to work for, and I have been trying to transfer for 2+ years.  But stay far, far away from the Contact Center.",4
I love to be a part of this organisation were we get to do things differently.,i have learned how to operate with the resource which is available and having interaction with the other teams help to make to know were we are aiming to be.,4
Good place to work,Will get opportunities to work on new technologies. A typical day at work include morning scrum meeting followed by technical discussions and then working on the user stories assigned.,4
Depending on where you work in the company depends on the stress level,"Little time for down time and/or some fun.Motto, work more with less.I liked every position that I worked in, but management was my least favorite.So many changes and update can make your head spin",4
Productive and busy environment,"Enjoyed working at Walmart for the most part. Enjoyed the other employees I worked with. Learned the difference in Identifications and drivers Licenses (which were fake and which were real).  Management wasn't very knowledgeable or helpful at most times. Walmart is not very employee friendly at times, however they never discriminated again the disabled and that was very nice to see. Hardest part was when customers wanted to speak with the manager and he ignored them and left the employees to handle all situations the best they could. The best part of working for the company was the different people that you got to interact with.",3
It,"Senior Dirctor>Dirctors>Senior manage>Managers>engineerSenior Dirctor>Dirctors>Senior manage>Managers>engineer Too many managers, and directors, too many changes. Too little pay. Working for Walmart ISD is perfect recipe to destroy you IT career. To many positions and too many butt kissers work at ISD.",1
Its the place to be!,Its the place to be. Always something to participate in. They have classes you can take to learn more skills in your area and others if interested. If your working long hours they feed you and they thank you for your extra time. Great group of leaders and peers.,5
Good job,"bad management is a virus that you can't get away from. Its the single largest driving factor for pushing out talent.  If more was done to hold leaders accountable for bad decisions, would recommend.",4
It Was a Job I Stayed Longer Than Intended,"I don't know much of what to say here, because I still work there. I don't hate it, but I certainly don't love it. Making $12.75 as an hourly supervisor and think that is way too low for a company as big as Walmart to pay their supervisors that do as much as they do. I don't even get to do the parts of the job I was hired to do most of the time, as we are so short staffed I'm asked to help in any random direction that is needed. I'd stay if pay was higher, because I like the people I work with, my specific management is solid, and I don't mind the work. But at my current pay, and what most people make there overall, I can't recommend it.",2
Unfair work compensation,Walmart is totally not a company that work there employees fairly. Worked for the company about 16 years. I was injured at work where a pallet fell on me and injured my cervical spine. It took me well over three years to fight to have surgery.,1
Working at Walmart,I enjoyed working at Wal-Mart until I had to transfer back home because of family illness and my hours and days were cut. I enjoyed helping people at the service desk and also around the store.,4
Shady,Walmart has shady tactics and are very dishonest. Their network is connected with crime organizations and will enter your property illegally so if working here dont talk to anyone about anything and keep your ears open,1
"fun place to work, very fast paced, but good relations","Very competitive, very fast paced mostly, sometimes not enough time to get all your job done. Good pay for most positions and it increases by levels and bonuses.Management is good and fair mostly, some could use more tack.",5
"Great place to work, culture has changed from collaborative to competitive internally",There is a lot of flexibility in where work gets done. Strategy and goals change frequently so it’s difficult to keep teams on track. Resources and tools to do the job effectively are more limited than you’d expect for a company the size of Walmart.,5
Micromanaged,"Lack of communication; micromanaged down to the exact second you clock in, take your breaks and lunch and when you clock out. I lucked out with a fabulous manager. Most are not qualified to be a manager.",1
Date Processing and customer service,Helping all Walmart Associates understand their Health and Wellness Benefits. We assisted associates with open enrollment of benefits and also with qualified family status changes and data entry and customer service,3
Good place to work,"Design and develop phases of the application using C#, JavaScript, SQL, JDA, PowerShell, Teradata, DB2, XML, SSIS, .Net framework and visual studio IDE.•	Working on enhancements and release plan for modular management application changes for international markets (Canada, UK, Mexico, China, Japan, Chile).•	C# and .Net framework using to create Planogram importing and exporting to JDA database•	Build and Deploy to Cert, UAT, Production and Dev environments, and Deploys changes and supports User Acceptance Testing (UAT).•	Contribute in all phases of development life cycle.•	Plans, performs, and acts as the escalation point for the most complex platforms designs, coding and testing.•	Evaluate existing feature and modifying it. Documenting the new features of the modules. Reuse of existing components while designing new modules.•	Updates management of evolving SSIS, SQL, .Net development technologies including design patterns and coding and Web UI designs.•	Involve in discussions of new feature/module changes.•	Responsible for coordinating with offshore team on the user stories and providing information to understand the business requirements on their respective user story.•	Developed various stored procedures, Views and Triggers to migrate data from various databases to keep data updated in live stores.•	Created Complex queries to calculate the performance of products in stores for all markets.•	Deployed and maintained SQL jobs using SQL AGENT JOB.•	Scheduling SSIS, Mainframes jobs and .Net processes to import and maintain data in the JDA CKB from Source - more...",4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Call Center is the worst,"The call center has extremely demanding goals set in place and VERY strict monitoring teams. When you are on a call they log in and watch your screen and ghost listen to your calls. Your “manager” has no control over your hours, your PTO, your schedule etc. They expect you to take abuse from customers and employees and expect you to not react like a human being when you’re being berated",1
Not a great place to work,I would not recommend my position to anyone. Management is very easy to work with. Very strict. Management plays favorites with hourly associates. I would never wish my position to anyone,1
Used to be a good place to work.,With all the changes to policy walmart is going down hill fast. Assocoates are just bodys taking up space. I was canned because of a lying drama queen teen ager.,1
Good place to work for,Good place to work if you have little to no specialized skills.  They do have good opportunities to move up but the are quickly becoming sparse to find and are thinking out.,4
The people there are the only reason I stayed that long.,The employees makes it a nice place to work but the management staff was sometimes difficult.Would recommend it as a last resort. Walmart has changed so much since 2004.,3
Company has lost its culture,"Morale is at an all-time low, job security is close to zero, positions and departments are being eliminated, but the work still has to get completed. Too many company processes that distract the associates from doing their jobs. Was a wonderful place to work at one time, but no one at the home office wants to hear from the field associates.",2
there are now game rooms put in place to confuse workers,"I have never worked for a place where being part of the the click makes all of the differnce. I have seen people get written up for a mistake were the company actually made money and another work make a mistake that costs the company over $8,000,000.00 and that per son got promoted, best friends with the director of the area. I once had a manager that was a Devil Worshiper who treated people more fairly than the management team that I worked under treated their people.",1
Culture is changing with the times,"Overall Walmart is a good company to work for but like any company, the manager makes the job. I have left the company and come back a couple times and as long as you had a good work record and left in good standing,  they are good to rehire.",3
Walmart Information Security,"I worked at Walmart for 5 years and learned a lot about their comprehensive information security program and it's top notch.  Before I left in 2017, they were a little week on providing necessary training and advancement opportunities for existing employees, but the culture and people were second to none.  I met my favorite boss in my entire career there and had several mentors, all of which were industry leading experts and fantastic, down to earth people.   Given the opportunity, I'd work there again in a heartbeat.",4
"Good place to work, but very Strict",A good place to work but point system is very strict. Not nearly enough paid days off for a normal year. Still very flexible with school hours and great as a part time job,4
Do not do it.,They will use and and abuse you. Work you to death. There is no life balance. They have favoritism for poor performers and reward based on meeting quotas.,1
Great place to work but don't go in as a temp,"Great place to work but if you go in as a temp most likely you are coming out at your due date. Big difference in treatment to temp/full time employees. other than that walmart pays well, has good benefits and work is set hours mostly.",5
Fortune One home office,"So many possibilities if you take control of your own career.  Great exposure to a true huge company experience. If you can't make it here, you're not paying attention.",4
Extreme place to work,"very high to extreme pace work environment.  This place runs on the life boat drill.  Top 10 percent get a raise, bottom 10% get fired, everybody in the middle gets to keep their job.  Good luck.",3
Walmart like many other companies is aggressively outsourcing many positions.,Walmart use to be a very good company to work for but as with many other company things change and not always for the better. I have had numerous positions with the company over a 25 year only to be notified that many of us are going to be replaced with a third party contractor.,2
"Fast pace, high expectations, very demanding.",Walmart was a great place to work for the majority of m career. The culture was changing but still better than most companies. Job security was getting to be a concern.,4
Overall day,Managed associates on a daily basis. Reviewed CCTV for preventative measures in controlling inventory levels according to company standards and guidelines.,4
Productive and Professional,Pending the position. Management could use improvement. I have used the opened door policy and it did nothing for me. Organization could be improved. I was hired onto a job stating my hours of availability but the management did not know which hours i would work until two weeks into the position.,4
Productive work environment with good work culture,"Working for Walmart is a very good experience. Very good work culture and friendly environment, take good care of employees.Fosters growth and productive work environment.",5
Best job ever,By far the best driving job ever they treat you like a person not like a number on a truck and they work with u in the best way they can and one plus thing is the uniforms look great,5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Transportation is a pretty secure career in Walmart.,Fast paced atmosphere especially during peak season.Great people to work for and work with. Technology is always being updated. Many opportunities with special projects throughout the job to help you shine if you want to participate.,5
Great Place,Had a great opportunity to grow with the largest retail company.  Started out as an Hourly and developed the skills to be a successful leader in IT for 26 years.,5
Fun workplace,I enjoyed my time at Walmart. Great benefits good hours all the people are nice love talking and dealing with customers. Management is okay not the best but not the worst,5
Management without people skills,Management generally lacks professionalism. There is no concern for work/life balance.  They demand more and more and more from their employees.  Can make a buck or two.,1
"Intellectually challenging, fast paced, friendly","Walmart Legal has lived up to Walmart's principles of respect, excellence & integrity. Recent leadership change & reorg has negatively shifted morale.",4
Hit or miss for software developers,"Entry level developers may or may not be placed on teams with technical needs aligning with developer skills. You may go in with Java experience but be placed on a team that does nothing but support and implement 3rd party software. As such, you may not be programming at all. You may only be updating configuration files and working as a go-between for Walmart's internal customers and support/development group for the 3rd party software. Make sure you know where you will be placed and if they don't know, that could be a red flag. Also, work-life balance can be pretty tough depending on the team you are assigned to. Regardless, all home office employees are required to work a minimum of 9 hours a day and usually your workload will keep you there longer.",2
Enjoyed most of my time with the company,I like the atmosphere the challenge and freedom.  I didn’t like the disregard for work life balance and quick decisions to release people based on lower managers feelings rather than facts.,4
Home office Contact center,"Assisted stores with all maintenance, fuel supply, refrigeration, eoc, and Scheduling. Busy environment, always opportunity to grow within the building. Issue is with promoting out is near impossible.",3
Loss of basic beliefs,Company is focused on hiring only vendor contracted works and removing associates that have extended experience within the Healthcare and compliance industry.,1
Great place to have varied experiences,"great place to have multiple career experiences within the same companycompany compensation is very generous but skewed to long term compensation and bonus",3
Fun company,Walmart if company to work for if you can handle the long working hours. I learned a lot when I was at Walmart IT department. They do take care of their employees.,4
